MÊS ;DATA;TRANSPORTADORA;LIBERADOS;MALHA ;OPERAÇÃO;TOTAL TRANSPORTADORAS;% MALHA
Agosto;2025-08-01;Zumpy;54;3;LML;57;0.053
Agosto;2025-08-01;Zoom;11;1;LML;12;0.083
Agosto;2025-08-01;Assis Rio;43;4;Direta;47;0.085
Agosto;2025-08-01;PJ;13;2;Direta;15;0.133
Agosto;2025-08-01;TRILOG;6;1;Direta;7;0.143
Agosto;2025-08-01;REU;27;3;Direta;30;0.1
Agosto;2025-08-01;Riviera;0;0;Direta;0;0.0
Agosto;2025-08-02;FE;21;2;LML;23;0.087
Agosto;2025-08-02;DMD;15;2;LML;17;0.118
Agosto;2025-08-02;Zumpy;24;3;LML;27;0.111
Agosto;2025-08-02;Zoom;8;2;LML;10;0.2
Agosto;2025-08-02;Assis Rio;36;3;Direta;39;0.077
Agosto;2025-08-02;PJ;16;1;Direta;17;0.059
Agosto;2025-08-02;TRILOG;3;0;Direta;3;0.0
Agosto;2025-08-02;REU;25;5;Direta;30;0.167
Agosto;2025-08-02;Riviera;6;1;Direta;7;0.143
Agosto;2025-08-03;FE;0;0;LML;0;0.0
Agosto;2025-08-03;DMD;0;0;LML;0;0.0
Agosto;2025-08-03;Zumpy;0;0;LML;0;0.0
Agosto;2025-08-03;Zoom;0;0;LML;0;0.0
Agosto;2025-08-03;Assis Rio;0;0;Direta;0;0.0
Agosto;2025-08-03;PJ;0;0;Direta;0;0.0
Agosto;2025-08-03;TRILOG;0;0;Direta;0;0.0
Agosto;2025-08-03;REU;0;0;Direta;0;0.0
Agosto;2025-08-03;Riviera;0;0;Direta;0;0.0
Agosto;2025-08-04;FE;39;3;LML;42;0.071
Agosto;2025-08-04;DMD;27;0;LML;27;0.0
Agosto;2025-08-04;Zumpy;52;3;LML;55;0.055
Agosto;2025-08-04;Zoom;10;2;LML;12;0.167
Agosto;2025-08-04;Assis Rio;44;3;Direta;47;0.064
Agosto;2025-08-04;PJ;15;3;Direta;18;0.167
Agosto;2025-08-04;TRILOG;5;1;Direta;6;0.167
Agosto;2025-08-04;REU;31;2;Direta;33;0.061
Agosto;2025-08-04;Riviera;8;1;Direta;9;0.111
Agosto;2025-08-05;FE;40;3;LML;43;0.07
Agosto;2025-08-05;DMD;27;2;LML;29;0.069
Agosto;2025-08-05;Zumpy;51;2;LML;53;0.038
Agosto;2025-08-05;Zoom;11;3;LML;14;0.214
Agosto;2025-08-05;Assis Rio;41;3;Direta;44;0.068
Agosto;2025-08-05;PJ;16;1;Direta;17;0.059
Agosto;2025-08-05;TRILOG;7;1;Direta;8;0.125
Agosto;2025-08-05;REU;27;2;Direta;29;0.069
Agosto;2025-08-05;Riviera;6;2;Direta;8;0.25
Agosto;2025-08-06;FE;38;3;LML;41;0.073
Agosto;2025-08-06;DMD;28;3;LML;31;0.097
Agosto;2025-08-06;Zumpy;51;2;LML;53;0.038
Agosto;2025-08-06;Zoom;11;1;LML;12;0.083
Agosto;2025-08-06;Assis Rio;41;3;Direta;44;0.068
Agosto;2025-08-06;PJ;18;3;Direta;21;0.143
